transcript,incident_type,address,city,zipcode,casualties,reporting_time,reporter
Speaker 4: There's a kitchen fire at 1046 TREELINE WAY. Casualties reported: children trapped,kitchen fire,1046 TREELINE WAY,DELAWARE,43015,children trapped,2024-11-25T13:51:11.348372,Speaker 4
Speaker 4: There's a false alarm at 206 ACACIA AVE. Casualties reported: caller escaped alone,false alarm,206 ACACIA AVE,DELAWARE,43015,caller escaped alone,2024-12-29T12:44:11.348428,Speaker 4
Speaker 3: There's a gas leak at 151 FIRESTONE DR. Casualties reported: children trapped,gas leak,151 FIRESTONE DR,DELAWARE,43015,children trapped,2024-04-18T02:54:11.348484,Speaker 3
Speaker 4: There's a kitchen fire at 316 E WILLIAM ST APT 4. Casualties reported: caller trapped,kitchen fire,316 E WILLIAM ST APT 4,DELAWARE,43015,caller trapped,2024-05-18T12:00:11.348538,Speaker 4
Speaker 4: There's a gas leak at 628 BUEHLER DR. Casualties reported: caller escaped alone,gas leak,628 BUEHLER DR,DELAWARE,43015,caller escaped alone,2025-01-27T13:32:11.348592,Speaker 4
Speaker 3: There's a false alarm at 33 FLAX ST STE 111. Casualties reported: unknown number trapped,false alarm,33 FLAX ST STE 111,DELAWARE,43015,unknown number trapped,2024-05-16T13:48:11.348646,Speaker 3
Speaker 1: There's a structure fire at 2288 HYATTS RD. Casualties reported: unknown number trapped,structure fire,2288 HYATTS RD,DELAWARE,43015,unknown number trapped,2025-02-18T05:27:11.348702,Speaker 1
Speaker 3: There's a gas leak at 46 OAKWOOD DR APT 5. Casualties reported: caller trapped,gas leak,46 OAKWOOD DR APT 5,DELAWARE,43015,caller trapped,2024-09-04T14:35:11.348758,Speaker 3
Speaker 4: There's a electrical fire at 4100 BYERS RD. Casualties reported: unknown number trapped,electrical fire,4100 BYERS RD,DELAWARE,43015,unknown number trapped,2025-01-27T22:14:11.348815,Speaker 4
Speaker 3: There's a vehicle fire at 248 N SANDUSKY ST. Casualties reported: caller trapped,vehicle fire,248 N SANDUSKY ST,DELAWARE,43015,caller trapped,2024-07-16T18:54:11.348880,Speaker 3
Speaker 1: There's a structure fire at 591 PENWELL DR. Casualties reported: pets inside,structure fire,591 PENWELL DR,DELAWARE,43015,pets inside,2024-07-16T10:17:11.348941,Speaker 1
Speaker 2: There's a false alarm at 2567 BELLGROVE CT. Casualties reported: children trapped,false alarm,2567 BELLGROVE CT,DELAWARE,43015,children trapped,2024-07-16T11:54:11.349010,Speaker 2
Speaker 4: There's a vehicle fire at 1536 PLOWINGTON DR. Casualties reported: unknown number trapped,vehicle fire,1536 PLOWINGTON DR,DELAWARE,43015,unknown number trapped,2024-04-21T09:45:11.349089,Speaker 4
Speaker 1: There's a industrial fire at 86 TABILORE LOOP. Casualties reported: unknown number trapped,industrial fire,86 TABILORE LOOP,DELAWARE,43015,unknown number trapped,2024-07-25T00:42:11.349144,Speaker 1
Speaker 1: There's a kitchen fire at 246 DOGWOOD DR. Casualties reported: caller escaped alone,kitchen fire,246 DOGWOOD DR,DELAWARE,43015,caller escaped alone,2025-01-21T21:38:11.349200,Speaker 1
Speaker 1: There's a gas leak at 15 CHERRY BLOSSOM SQ STE 2208. Casualties reported: caller trapped,gas leak,15 CHERRY BLOSSOM SQ STE 2208,DELAWARE,43015,caller trapped,2024-08-03T10:15:11.349257,Speaker 1
Speaker 1: There's a vehicle fire at 3605 CHESHIRE RD. Casualties reported: elderly person trapped,vehicle fire,3605 CHESHIRE RD,DELAWARE,43015,elderly person trapped,2025-03-17T03:55:11.349313,Speaker 1
Speaker 4: There's a electrical fire at 150 WINDING VALLEY DR. Casualties reported: pets inside,electrical fire,150 WINDING VALLEY DR,DELAWARE,43015,pets inside,2025-01-15T17:03:11.349369,Speaker 4
Speaker 3: There's a wildfire at 301 FLINT ROCK DR. Casualties reported: unknown number trapped,wildfire,301 FLINT ROCK DR,DELAWARE,43015,unknown number trapped,2024-08-19T23:42:11.349423,Speaker 3
Speaker 1: There's a false alarm at 174 HAYES ST. Casualties reported: children trapped,false alarm,174 HAYES ST,DELAWARE,43015,children trapped,2024-12-20T15:56:11.349477,Speaker 1
Speaker 3: There's a kitchen fire at 105 INNOVATION CT. Casualties reported: caller trapped,kitchen fire,105 INNOVATION CT,DELAWARE,43015,caller trapped,2025-01-17T00:06:11.349531,Speaker 3
Speaker 3: There's a kitchen fire at 177 E CENTRAL AVE. Casualties reported: pets inside,kitchen fire,177 E CENTRAL AVE,DELAWARE,43015,pets inside,2024-08-19T02:58:11.349583,Speaker 3
Speaker 2: There's a gas leak at 195 LENELL LOOP. No one is hurt.,gas leak,195 LENELL LOOP,DELAWARE,43015,none,2024-11-25T08:32:11.349637,Speaker 2
Speaker 4: There's a industrial fire at 0 CANAL ST. Casualties reported: elderly person trapped,industrial fire,0 CANAL ST,DELAWARE,43015,elderly person trapped,2024-07-29T12:55:11.349691,Speaker 4
Speaker 4: There's a kitchen fire at 1530 HOME RD. Casualties reported: caller trapped,kitchen fire,1530 HOME RD,DELAWARE,43015,caller trapped,2024-11-10T02:38:11.349745,Speaker 4
Speaker 4: There's a vehicle fire at 1362 SUSSEX LN APT B. No one is hurt.,vehicle fire,1362 SUSSEX LN APT B,DELAWARE,43015,none,2024-12-06T10:20:11.349812,Speaker 4
Speaker 4: There's a wildfire at 238 W LINCOLN AVE. Casualties reported: unknown number trapped,wildfire,238 W LINCOLN AVE,DELAWARE,43015,unknown number trapped,2024-06-23T10:41:11.349903,Speaker 4
Speaker 3: There's a electrical fire at 54 ANNETTE ST. Casualties reported: children trapped,electrical fire,54 ANNETTE ST,DELAWARE,43015,children trapped,2025-03-03T10:36:11.349963,Speaker 3
Speaker 3: There's a electrical fire at 388 BENJAMIN ST. Casualties reported: unknown number trapped,electrical fire,388 BENJAMIN ST,DELAWARE,43015,unknown number trapped,2024-04-04T12:43:11.350017,Speaker 3
Speaker 3: There's a structure fire at 109 E CENTRAL AVE. Casualties reported: elderly person trapped,structure fire,109 E CENTRAL AVE,DELAWARE,43015,elderly person trapped,2025-03-11T06:48:11.350082,Speaker 3
Speaker 1: There's a structure fire at 510 ACME RD. Casualties reported: caller trapped,structure fire,510 ACME RD,DELAWARE,43015,caller trapped,2024-12-24T11:26:11.350161,Speaker 1
Speaker 4: There's a electrical fire at 8336 WHISPER TRCE. Casualties reported: pets inside,electrical fire,8336 WHISPER TRCE,DELAWARE,43015,pets inside,2024-07-31T18:45:11.350216,Speaker 4
Speaker 2: There's a structure fire at 309 CHELSEA ST APT F. Casualties reported: caller escaped alone,structure fire,309 CHELSEA ST APT F,DELAWARE,43015,caller escaped alone,2024-12-15T19:05:11.350270,Speaker 2
Speaker 2: There's a electrical fire at 300 CHELSEA ST APT 310. Casualties reported: unknown number trapped,electrical fire,300 CHELSEA ST APT 310,DELAWARE,43015,unknown number trapped,2025-01-22T08:49:11.350325,Speaker 2
Speaker 3: There's a false alarm at 736 SWANSON ST. Casualties reported: unknown number trapped,false alarm,736 SWANSON ST,DELAWARE,43015,unknown number trapped,2024-04-17T07:13:11.350381,Speaker 3
Speaker 4: There's a structure fire at 300 CHELSEA ST APT 220. Casualties reported: children trapped,structure fire,300 CHELSEA ST APT 220,DELAWARE,43015,children trapped,2024-09-08T03:23:11.350435,Speaker 4
Speaker 1: There's a industrial fire at 326 BRAZILWOOD WAY. Casualties reported: caller escaped alone,industrial fire,326 BRAZILWOOD WAY,DELAWARE,43015,caller escaped alone,2025-01-07T22:05:11.350489,Speaker 1
Speaker 2: There's a vehicle fire at 110 GLENGARY DR. Casualties reported: caller trapped,vehicle fire,110 GLENGARY DR,DELAWARE,43015,caller trapped,2024-05-26T00:25:11.350544,Speaker 2
Speaker 4: There's a vehicle fire at 0 COLUMBUS PIKE. Casualties reported: pets inside,vehicle fire,0 COLUMBUS PIKE,DELAWARE,43015,pets inside,2024-05-22T02:26:11.350598,Speaker 4
Speaker 4: There's a false alarm at 305 STONHOPE DR. Casualties reported: elderly person trapped,false alarm,305 STONHOPE DR,DELAWARE,43015,elderly person trapped,2025-03-26T01:36:11.350652,Speaker 4
Speaker 3: There's a wildfire at 2252 BRUCE RD APT 21. Casualties reported: children trapped,wildfire,2252 BRUCE RD APT 21,DELAWARE,43015,children trapped,2024-07-20T10:30:11.350706,Speaker 3
Speaker 3: There's a false alarm at 58 WINTER PINE DR. Casualties reported: elderly person trapped,false alarm,58 WINTER PINE DR,DELAWARE,43015,elderly person trapped,2024-04-25T01:18:11.350761,Speaker 3
Speaker 1: There's a industrial fire at 269 SYLVAN DR. Casualties reported: children trapped,industrial fire,269 SYLVAN DR,DELAWARE,43015,children trapped,2024-09-30T07:03:11.350816,Speaker 1
Speaker 3: There's a industrial fire at 2911 S OLD STATE RD Area2-B41. Casualties reported: children trapped,industrial fire,2911 S OLD STATE RD Area2-B41,DELAWARE,43015,children trapped,2024-09-10T15:41:11.350869,Speaker 3
Speaker 4: There's a gas leak at 81 FIELDCREST DR. Casualties reported: elderly person trapped,gas leak,81 FIELDCREST DR,DELAWARE,43015,elderly person trapped,2024-04-25T14:54:11.350927,Speaker 4
Speaker 1: There's a structure fire at 337 KERRY PARK CIR. Casualties reported: children trapped,structure fire,337 KERRY PARK CIR,DELAWARE,43015,children trapped,2024-09-11T05:39:11.350993,Speaker 1
Speaker 4: There's a kitchen fire at 444 FEDERAL CIR. Casualties reported: elderly person trapped,kitchen fire,444 FEDERAL CIR,DELAWARE,43015,elderly person trapped,2024-06-06T19:09:11.351049,Speaker 4
Speaker 4: There's a electrical fire at 106 PENNSYLVANIA AVE. Casualties reported: elderly person trapped,electrical fire,106 PENNSYLVANIA AVE,DELAWARE,43015,elderly person trapped,2025-03-26T05:53:11.351114,Speaker 4
Speaker 4: There's a industrial fire at 65 SHEARER PL STE 210. Casualties reported: elderly person trapped,industrial fire,65 SHEARER PL STE 210,DELAWARE,43015,elderly person trapped,2024-12-06T22:16:11.351186,Speaker 4
Speaker 3: There's a structure fire at 644 WHITE ROCK ST. Casualties reported: children trapped,structure fire,644 WHITE ROCK ST,DELAWARE,43015,children trapped,2024-09-27T14:31:11.351244,Speaker 3
Speaker 2: There's a wildfire at 61 COLUMBUS AVE. Casualties reported: caller escaped alone,wildfire,61 COLUMBUS AVE,DELAWARE,43015,caller escaped alone,2024-04-25T02:07:11.351299,Speaker 2
Speaker 2: There's a vehicle fire at 210 VILLAGE GATE BLVD. Casualties reported: caller escaped alone,vehicle fire,210 VILLAGE GATE BLVD,DELAWARE,43015,caller escaped alone,2025-02-25T11:00:11.351354,Speaker 2
Speaker 4: There's a structure fire at 66 GEORGETOWNE DR APT 1. Casualties reported: pets inside,structure fire,66 GEORGETOWNE DR APT 1,DELAWARE,43015,pets inside,2024-09-02T07:36:11.351407,Speaker 4
Speaker 1: There's a vehicle fire at 138 MUIRWOOD VILLAGE DR. Casualties reported: pets inside,vehicle fire,138 MUIRWOOD VILLAGE DR,DELAWARE,43015,pets inside,2025-01-01T07:38:11.351461,Speaker 1
Speaker 3: There's a gas leak at 107 DOGWOOD DR. No one is hurt.,gas leak,107 DOGWOOD DR,DELAWARE,43015,none,2024-12-12T11:47:11.351514,Speaker 3
Speaker 4: There's a kitchen fire at 603 HILLS-MILLER RD. Casualties reported: caller escaped alone,kitchen fire,603 HILLS-MILLER RD,DELAWARE,43015,caller escaped alone,2024-06-13T20:23:11.351566,Speaker 4
Speaker 1: There's a industrial fire at 1434 GUILFORD RD. Casualties reported: children trapped,industrial fire,1434 GUILFORD RD,DELAWARE,43015,children trapped,2025-01-08T07:21:11.351620,Speaker 1
Speaker 2: There's a wildfire at 1034 BOULDER DR. Casualties reported: unknown number trapped,wildfire,1034 BOULDER DR,DELAWARE,43015,unknown number trapped,2025-03-15T01:44:11.351674,Speaker 2
Speaker 4: There's a wildfire at 2000 US HIGHWAY 23 N LOT 22. Casualties reported: pets inside,wildfire,2000 US HIGHWAY 23 N LOT 22,DELAWARE,43015,pets inside,2024-06-01T07:43:11.351728,Speaker 4
Speaker 2: There's a electrical fire at  . Casualties reported: unknown number trapped,electrical fire, ,DELAWARE,43015,unknown number trapped,2025-01-11T01:42:11.351782,Speaker 2
Speaker 4: There's a false alarm at 283 HARMONY DR. Casualties reported: caller escaped alone,false alarm,283 HARMONY DR,DELAWARE,43015,caller escaped alone,2024-08-05T05:43:11.351836,Speaker 4
Speaker 1: There's a vehicle fire at 868 W WILLIAM ST. Casualties reported: children trapped,vehicle fire,868 W WILLIAM ST,DELAWARE,43015,children trapped,2024-07-16T19:55:11.351892,Speaker 1
Speaker 1: There's a vehicle fire at 1071 CHATHAM LN W. Casualties reported: children trapped,vehicle fire,1071 CHATHAM LN W,DELAWARE,43015,children trapped,2025-01-29T20:33:11.351955,Speaker 1
Speaker 2: There's a wildfire at 370 W CENTRAL AVE. Casualties reported: unknown number trapped,wildfire,370 W CENTRAL AVE,DELAWARE,43015,unknown number trapped,2025-02-08T09:46:11.352021,Speaker 2
Speaker 2: There's a wildfire at 2236 HYATTS RD. Casualties reported: unknown number trapped,wildfire,2236 HYATTS RD,DELAWARE,43015,unknown number trapped,2025-01-07T16:13:11.352079,Speaker 2
Speaker 3: There's a wildfire at 332 ORCHARD CYN. Casualties reported: elderly person trapped,wildfire,332 ORCHARD CYN,DELAWARE,43015,elderly person trapped,2024-04-22T04:25:11.352133,Speaker 3
Speaker 1: There's a structure fire at 956 HERITAGE BLVD. No one is hurt.,structure fire,956 HERITAGE BLVD,DELAWARE,43015,none,2024-12-08T11:35:11.352186,Speaker 1
Speaker 4: There's a gas leak at 123 FLINTWOOD DR. Casualties reported: caller escaped alone,gas leak,123 FLINTWOOD DR,DELAWARE,43015,caller escaped alone,2025-02-21T23:10:11.352263,Speaker 4
Speaker 1: There's a gas leak at 3940 CURVE RD. Casualties reported: caller escaped alone,gas leak,3940 CURVE RD,DELAWARE,43015,caller escaped alone,2025-02-06T16:31:11.352322,Speaker 1
Speaker 2: There's a wildfire at 2178 BRUCE RD APT 103. Casualties reported: unknown number trapped,wildfire,2178 BRUCE RD APT 103,DELAWARE,43015,unknown number trapped,2024-08-23T21:48:11.352377,Speaker 2
Speaker 1: There's a wildfire at 1701 LONGHILL DR. Casualties reported: unknown number trapped,wildfire,1701 LONGHILL DR,DELAWARE,43015,unknown number trapped,2024-12-27T06:44:11.352433,Speaker 1
Speaker 3: There's a wildfire at 516 PISA LOOP. No one is hurt.,wildfire,516 PISA LOOP,DELAWARE,43015,none,2024-07-30T16:17:11.352488,Speaker 3
Speaker 2: There's a vehicle fire at 924 CANAL ST. No one is hurt.,vehicle fire,924 CANAL ST,DELAWARE,43015,none,2025-03-23T15:07:11.352542,Speaker 2
Speaker 4: There's a electrical fire at 86 BRIDGEPORT WAY. No one is hurt.,electrical fire,86 BRIDGEPORT WAY,DELAWARE,43015,none,2025-01-07T23:57:11.352596,Speaker 4
Speaker 1: There's a false alarm at 147 LAKE ST. Casualties reported: caller escaped alone,false alarm,147 LAKE ST,DELAWARE,43015,caller escaped alone,2024-08-28T10:08:11.352650,Speaker 1
Speaker 2: There's a industrial fire at 919 BRITTANY DR. Casualties reported: unknown number trapped,industrial fire,919 BRITTANY DR,DELAWARE,43015,unknown number trapped,2024-04-03T00:36:11.352703,Speaker 2
Speaker 2: There's a kitchen fire at 589 BUENA PARK DR. Casualties reported: pets inside,kitchen fire,589 BUENA PARK DR,DELAWARE,43015,pets inside,2024-05-03T09:04:11.352757,Speaker 2
Speaker 2: There's a false alarm at 3000 BOWTOWN RD. Casualties reported: unknown number trapped,false alarm,3000 BOWTOWN RD,DELAWARE,43015,unknown number trapped,2024-05-08T22:10:11.352812,Speaker 2
Speaker 2: There's a wildfire at 139 CABOOSE LN. Casualties reported: elderly person trapped,wildfire,139 CABOOSE LN,DELAWARE,43015,elderly person trapped,2024-08-09T21:23:11.352867,Speaker 2
Speaker 2: There's a industrial fire at 39 KURRLEY ST. No one is hurt.,industrial fire,39 KURRLEY ST,DELAWARE,43015,none,2024-07-01T23:56:11.352919,Speaker 2
Speaker 3: There's a wildfire at 2000 US HIGHWAY 23 N LOT 135. No one is hurt.,wildfire,2000 US HIGHWAY 23 N LOT 135,DELAWARE,43015,none,2025-03-18T14:41:11.352972,Speaker 3
Speaker 4: There's a vehicle fire at 19 N LIBERTY ST. Casualties reported: caller trapped,vehicle fire,19 N LIBERTY ST,DELAWARE,43015,caller trapped,2025-02-21T18:33:11.353026,Speaker 4
Speaker 3: There's a kitchen fire at 2084 FORESTVIEW LN. Casualties reported: unknown number trapped,kitchen fire,2084 FORESTVIEW LN,DELAWARE,43015,unknown number trapped,2024-05-20T22:56:11.353090,Speaker 3
Speaker 2: There's a kitchen fire at 3190 S OLD STATE RD LOT 119. Casualties reported: caller escaped alone,kitchen fire,3190 S OLD STATE RD LOT 119,DELAWARE,43015,caller escaped alone,2024-08-25T11:26:11.353146,Speaker 2
Speaker 1: There's a electrical fire at 4204 S SECTION LINE RD. Casualties reported: children trapped,electrical fire,4204 S SECTION LINE RD,DELAWARE,43015,children trapped,2024-04-12T03:23:11.353200,Speaker 1
Speaker 3: There's a kitchen fire at 159 LONDON RD APT 43. No one is hurt.,kitchen fire,159 LONDON RD APT 43,DELAWARE,43015,none,2024-08-05T06:57:11.353254,Speaker 3
Speaker 2: There's a structure fire at 88 CARRIAGE DR APT H. Casualties reported: pets inside,structure fire,88 CARRIAGE DR APT H,DELAWARE,43015,pets inside,2024-12-20T09:16:11.353320,Speaker 2
Speaker 1: There's a vehicle fire at 49 RACHEL LN. Casualties reported: elderly person trapped,vehicle fire,49 RACHEL LN,DELAWARE,43015,elderly person trapped,2024-05-09T06:51:11.353383,Speaker 1
Speaker 4: There's a industrial fire at 16 LANTERN CHASE DR. Casualties reported: caller trapped,industrial fire,16 LANTERN CHASE DR,DELAWARE,43015,caller trapped,2024-06-24T07:41:11.353437,Speaker 4
Speaker 1: There's a wildfire at 420 OLENTANGY CROSSINGS W. Casualties reported: pets inside,wildfire,420 OLENTANGY CROSSINGS W,DELAWARE,43015,pets inside,2024-10-18T11:31:11.353489,Speaker 1
Speaker 4: There's a industrial fire at 1260 HILLS-MILLER RD. No one is hurt.,industrial fire,1260 HILLS-MILLER RD,DELAWARE,43015,none,2025-01-19T00:14:11.353542,Speaker 4
Speaker 4: There's a wildfire at 2015 KELLY-MCMASTER RD. No one is hurt.,wildfire,2015 KELLY-MCMASTER RD,DELAWARE,43015,none,2024-07-08T13:06:11.353594,Speaker 4
Speaker 4: There's a gas leak at 76 SHEARER PL STE 210. Casualties reported: caller trapped,gas leak,76 SHEARER PL STE 210,DELAWARE,43015,caller trapped,2024-08-31T13:10:11.353647,Speaker 4
Speaker 1: There's a false alarm at 353 W CENTRAL AVE. Casualties reported: unknown number trapped,false alarm,353 W CENTRAL AVE,DELAWARE,43015,unknown number trapped,2024-10-12T21:47:11.353701,Speaker 1
Speaker 1: There's a industrial fire at 2685 CHARLOTTE WAY. Casualties reported: caller escaped alone,industrial fire,2685 CHARLOTTE WAY,DELAWARE,43015,caller escaped alone,2024-05-03T09:22:11.353755,Speaker 1
Speaker 3: There's a industrial fire at 340 N PARKWAY DR. Casualties reported: caller trapped,industrial fire,340 N PARKWAY DR,DELAWARE,43015,caller trapped,2025-01-14T23:40:11.353807,Speaker 3
Speaker 3: There's a vehicle fire at 145 BENDELOW DR. Casualties reported: pets inside,vehicle fire,145 BENDELOW DR,DELAWARE,43015,pets inside,2024-11-02T12:33:11.353887,Speaker 3
Speaker 4: There's a wildfire at 184 VIA VENETO. Casualties reported: elderly person trapped,wildfire,184 VIA VENETO,DELAWARE,43015,elderly person trapped,2024-08-20T03:00:11.353942,Speaker 4
Speaker 1: There's a kitchen fire at 112 CURTIS ST. No one is hurt.,kitchen fire,112 CURTIS ST,DELAWARE,43015,none,2024-05-25T14:53:11.353996,Speaker 1
Speaker 2: There's a structure fire at 83 BRIDGEPORT WAY. Casualties reported: unknown number trapped,structure fire,83 BRIDGEPORT WAY,DELAWARE,43015,unknown number trapped,2024-06-13T05:21:11.354049,Speaker 2
Speaker 1: There's a gas leak at 231 ROCHDALE RUN. Casualties reported: elderly person trapped,gas leak,231 ROCHDALE RUN,DELAWARE,43015,elderly person trapped,2024-10-07T01:40:11.354101,Speaker 1
Speaker 2: There's a wildfire at 118 W LINCOLN AVE. Casualties reported: caller escaped alone,wildfire,118 W LINCOLN AVE,DELAWARE,43015,caller escaped alone,2024-06-03T07:19:11.354171,Speaker 2
Speaker 4: There's a kitchen fire at 2178 BRUCE RD APT 213. Casualties reported: caller escaped alone,kitchen fire,2178 BRUCE RD APT 213,DELAWARE,43015,caller escaped alone,2024-08-21T13:42:11.354225,Speaker 4
Speaker 3: There's a kitchen fire at 2677 CARROWMORE DR. Casualties reported: caller trapped,kitchen fire,2677 CARROWMORE DR,DELAWARE,43015,caller trapped,2024-04-08T06:34:11.354278,Speaker 3
Speaker 2: There's a industrial fire at 556 BUENA PARK DR. Casualties reported: children trapped,industrial fire,556 BUENA PARK DR,DELAWARE,43015,children trapped,2025-01-16T00:40:11.354331,Speaker 2
Speaker 2: There's a kitchen fire at 1025 STATE ROUTE 257 S. No one is hurt.,kitchen fire,1025 STATE ROUTE 257 S,DELAWARE,43015,none,2024-12-17T22:39:11.354398,Speaker 2
Speaker 1: There's a false alarm at 2000 US HIGHWAY 23 N LOT 35. Casualties reported: caller trapped,false alarm,2000 US HIGHWAY 23 N LOT 35,DELAWARE,43015,caller trapped,2024-05-25T23:35:11.354459,Speaker 1
